Title	Franchise	Format	Genres	Era	Links
"=""The 100"""	"="""""	"=""series"""	"=""adventure, science fiction, space"""	"=""2016-"""	"=""https://en.wikipedia.org/wiki/The_100_(TV_series), https://tv.apple.com/us/show/the-100/umc.cmc.3vq452bru4dywi1y0fzildivg"""
"=""11.22.63"""	"="""""	"=""miniseries"""	"=""science fiction, suspense, time travel"""	"=""2016"""	"=""https://en.wikipedia.org/wiki/11.22.63, https://tv.apple.com/us/show/112263/umc.cmc.42qftyqoh6tdjzh8c38zph6zu"""
"=""12 Monkeys"""	"="""""	"=""movie"""	"=""science fiction, time travel"""	"=""1995"""	"=""https://en.wikipedia.org/wiki/12_Monkeys, https://tv.apple.com/us/movie/twelve-monkeys/umc.cmc.49nuxpa3uc9ezls951h0ra32r"""
"=""2001: A Space Odyssey"""	"="""""	"=""movie"""	"=""science fiction, suspense, space"""	"=""1968"""	"=""https://en.wikipedia.org/wiki/2001:_A_Space_Odyssey_(film), https://tv.apple.com/us/movie/2001-a-space-odyssey/umc.cmc.1au04fbnh3q5i2p6sy0ik4rkz"""
"=""2012"""	"="""""	"=""movie"""	"=""action, adventure, disaster"""	"=""2009"""	"=""https://en.wikipedia.org/wiki/2012_(film), https://tv.apple.com/us/movie/2012/umc.cmc.2wq140jo9jd1ut59m0cfukrit"""
"=""28 Days Later"""	"="""""	"=""movie"""	"=""horror, zombies"""	"=""2002"""	"=""https://en.wikipedia.org/wiki/28_Days_Later, https://tv.apple.com/us/movie/28-days-later/umc.cmc.6o1742rqdwxl2dxav5trdajut"""
"=""48 Hours"""	"="""""	"=""series"""	"=""crime, documentary, mystery, nonfiction"""	"=""1988-"""	"=""https://en.wikipedia.org/wiki/48_Hours_(TV_program), https://tv.apple.com/us/show/48-hours/umc.cmc.71byb4ok9gh8268a11usep38c"""
"=""The A-Team"""	"=""The A-Team"""	"=""movie"""	"=""action, adventure, war"""	"=""2010"""	"=""https://en.wikipedia.org/wiki/The_A-Team_(film), https://tv.apple.com/us/movie/the-a-team/umc.cmc.6w55z4oa8rzkvk5dsqdkeyoxc"""
"=""The A-Team"""	"=""The A-Team"""	"=""series"""	"=""action, adventure, war"""	"=""1983-1987"""	"=""https://en.wikipedia.org/wiki/The_A-Team, https://tv.apple.com/us/show/the-a-team/umc.cmc.2spyyucxoot0t6e8av1ftv3cw"""
"=""The Affair"""	"="""""	"=""series"""	"=""drama, mystery, suspense"""	"=""2014-2019"""	"=""https://en.wikipedia.org/wiki/The_Affair_(TV_series), https://tv.apple.com/us/show/the-affair/umc.cmc.7i7fj0cd4huwtfhz1gf52sapu"""
"=""Akira"""	"="""""	"=""movie"""	"=""animation, anime, science fiction"""	"=""1988"""	"=""https://en.wikipedia.org/wiki/Akira_(1988_film), https://tv.apple.com/us/show/akira/umc.cmc.2y1oulkxinz1v3hmpy6crj734"""
"=""The Americans"""	"="""""	"=""series"""	"=""espionage, suspense"""	"=""2013-2018"""	"=""https://en.wikipedia.org/wiki/The_Americans, https://tv.apple.com/us/show/the-americans/umc.cmc.340taqazvog69k9m39r8atmpr"""
"=""Ant-Man"""	"=""Ant-Man"""	"=""movie"""	"=""action, comedy, superheroes"""	"=""2015"""	"=""https://en.wikipedia.org/wiki/Ant-Man_(film), https://tv.apple.com/us/movie/ant-man/umc.cmc.5v0c1mtw53zkyw8a0hf8xglwm"""
"=""Ant-Man and the Wasp"""	"=""Ant-Man"""	"=""movie"""	"=""action, comedy, superheroes"""	"=""2018"""	"=""https://en.wikipedia.org/wiki/Ant-Man_and_the_Wasp, https://tv.apple.com/us/movie/ant-man-and-the-wasp/umc.cmc.14uirj9rqpjg8prk3joqzfaif"""
"=""Arrested Development"""	"="""""	"=""series"""	"=""comedy"""	"=""2003-2006"""	"=""https://en.wikipedia.org/wiki/Arrested_Development, https://tv.apple.com/us/show/arrested-development/umc.cmc.2o9q1cdgu5880nfjtystky5pz"""
"=""Atlanta"""	"="""""	"=""series"""	"=""comedy, drama"""	"=""2016-"""	"=""https://en.wikipedia.org/wiki/Atlanta_(TV_series), https://tv.apple.com/us/show/atlanta/umc.cmc.4f0v8wi48lo6achj9447h755z"""
